Tweet_ID,Keyword,State
1658535757173395456,God,California
1658535743906537475,God,District of Columbia
1658535722532634624,God,Nevada
1658535705499537408,God,California
1658535692907995141,God,Texas
1658535692656422913,God,Texas
1658535674096517122,God,Illinois
1658535668136435730,God,Ohio
1658535658246348802,God,Michigan
1658535653578088448,God,Texas
1658535644845465604,God,Illinois
1658536191824674817,God,Michigan
1658536183633256449,God,Kansas
1658536175844589568,God,California
1658536166281412612,God,Texas
1658536160996540417,God,Wisconsin
1658536142101422081,God,California
1658536131011682304,God,California
1658536114070908928,God,Colorado
1658536094281998336,God,Texas
1658536076376678400,God,California
1658536263623000064,map,California
1658536177299865600,map,Tennessee
1658535969723764736,map,Illinois
1658535864241119236,map,Pennsylvania
1658535574662152196,map,New Jersey
1658535550498766850,map,Massachusetts
1658535520916623361,map,California
1658535463206920192,map,Washington
1658535463185965065,map,Ohio
1658535463173382155,map,Pennsylvania
1658535463068606465,map,Texas
1658535411352756242,map,Iowa
1658535362480726034,map,Texas
1658537016827469848,map,Massachusetts
1658536847713116161,map,Florida
1658536813831618560,map,Minnesota
1658536722420883473,map,Pennsylvania
1658536722311831554,map,Pennsylvania
1658536721464582147,map,Michigan
1658536721187758097,map,Washington
1658536720793518081,map,Pennsylvania
1658536720780910604,map,Pennsylvania
1658536720390840324,map,Texas
1658536720378232834,map,Texas
1658536712027660288,map,California
1658536602304405515,map,New York
1658536787445178384,ghost,Minnesota
1658536692834263044,ghost,Georgia
1658536618007904256,ghost,Pennsylvania
1658536402764668929,ghost,Florida
1658536314482966528,ghost,New York
1658536313027526656,ghost,Texas
1658536092293816332,ghost,Texas
1658535683177476096,ghost,California
1658535378083536918,ghost,Michigan
1658535335318659072,ghost,California
1658535210475208704,ghost,California
1658534975879237632,ghost,New Jersey
1658534780508712961,ghost,California
1658543412336033792,map,California
1658543334024003584,map,South Carolina
1658543311685050378,map,Florida
1658543132705951744,map,Delaware
1658543064929951773,map,Michigan
1658543017978912788,map,Texas
1658543016158670849,map,Pennsylvania
1658543015382638610,map,Maryland
1658543015344975873,map,Florida
1658543015340720130,map,Pennsylvania
1658543015340695617,map,Illinois
