Tweet_ID,Keyword,State
1673032328627601409,football,Florida
1673032316766109698,football,New York
1673032279935840257,football,Pennsylvania
1673032185710821378,football,Texas
1673032150055018496,football,South Carolina
1673032117058502659,football,New York
1673032104572010497,football,Colorado
1673032092186189825,football,District of Columbia
1673031902260006912,football,California
1673031859998019584,football,New York
1673031843921252354,football,Texas
1673031817887195138,football,New York
1673031718679515143,football,Nebraska
1673031701306519553,football,Tennessee
1673031652103077889,football,North Carolina
1673036440664514563,goal,Texas
1673036134148874240,goal,Georgia
1673036121679200256,goal,Texas
1673036116125966336,goal,Maryland
1673035902098997254,goal,District of Columbia
1673035819643453441,goal,California
1673035806993154050,goal,Pennsylvania
1673035543028924416,goal,North Carolina
1673035327437516803,goal,Pennsylvania
1673035132222185472,goal,California
1673035115403038720,goal,California
1673035111389093888,goal,Hawaii
1673035082792321024,goal,Washington
1673035067348615169,goal,Virginia
1673034919176536066,goal,District of Columbia
1673037739904606215,love,Texas
1673037738314964994,love,Illinois
1673037733680250882,love,Louisiana
1673037726264721408,love,Virginia
1673037723018338307,love,New York
1673037719646109699,love,Illinois
1673037719038218240,love,California
1673037717607956480,love,California
1673037709240315907,love,California
1673037707105411072,love,Nevada
1673037702730772481,love,Arizona
1673037701287915520,love,California
1673037699912192001,love,Florida
1673037696971821057,love,Georgia
1673037695277203456,love,Illinois
